 Time   Pos.   MSD   INS/GPS
0.0000 0.2500 0.0000 0.0000
0.0500 0.2493 0.2942 0.2942
0.1000 0.2473 0.2922 0.2926
0.1500 0.2425 0.2877 0.2881
0.2000 0.2357 0.2812 0.2811
0.2500 0.2265 0.2727 0.2719
0.3000 0.2169 0.2633 0.2616
0.3500 0.2086 0.2543 0.2527
0.4000 0.2011 0.2462 0.2452
0.4500 0.1938 0.2389 0.2380
0.5000 0.1877 0.2329 0.2315
0.5500 0.1837 0.2286 0.2270
0.6000 0.1834 0.2268 0.2257
0.6500 0.1863 0.2280 0.2285
0.7000 0.1905 0.2318 0.2334
0.7500 0.1962 0.2383 0.2390
0.8000 0.2057 0.2477 0.2477
0.8500 0.2198 0.2607 0.2610
0.9000 0.2381 0.2773 0.2791
0.9500 0.2590 0.2975 0.3004
1.0000 0.2839 0.3214 0.3248
1.0500 0.3126 0.3489 0.3534
1.1000 0.3452 0.3803 0.3857
1.1500 0.3825 0.4155 0.4227
1.2000 0.4223 0.4542 0.4633
1.2500 0.4648 0.4962 0.5060
1.3000 0.5112 0.5414 0.5521
1.3500 0.5618 0.5899 0.6024
1.4000 0.6172 0.6418 0.6575
1.4500 0.6751 0.6969 0.7163
1.5000 0.7351 0.7548 0.7773
1.5500 0.7939 0.8143 0.8384
1.6000 0.8531 0.8750 0.8984
1.6500 0.9134 0.9365 0.9594
1.7000 0.9738 0.9984 1.0210
1.7500 1.0338 1.0603 1.0820
1.8000 1.0937 1.1218 1.1427
1.8500 1.1526 1.1825 1.2027
1.9000 1.2113 1.2424 1.2620
1.9500 1.2692 1.3012 1.3206
2.0000 1.3279 1.3591 1.3793
2.0500 1.3854 1.4159 1.4380
2.1000 1.4407 1.4713 1.4947
2.1500 1.4937 1.5250 1.5488
2.2000 1.5447 1.5767 1.6008
2.2500 1.5932 1.6263 1.6500
2.3000 1.6418 1.6740 1.6984
2.3500 1.6879 1.7198 1.7458
2.4000 1.7312 1.7633 1.7901
2.4500 1.7720 1.8046 1.8315
2.5000 1.8120 1.8439 1.8713
2.5500 1.8500 1.8812 1.9099
2.6000 1.8870 1.9167 1.9467
2.6500 1.9243 1.9510 1.9833
2.7000 1.9611 1.9844 2.0203
2.7500 1.9954 2.0165 2.0555
2.8000 2.0281 2.0474 2.0883
2.8500 2.0590 2.0770 2.1198
2.9000 2.0864 2.1050 2.1483
2.9500 2.1107 2.1309 2.1734
3.0000 2.1320 2.1548 2.1955
3.0500 2.1502 2.1762 2.2144
3.1000 2.1661 2.1952 2.2304
3.1500 2.1806 2.2120 2.2445
3.2000 2.1944 2.2271 2.2578
3.2500 2.2072 2.2405 2.2703
3.3000 2.2183 2.2525 2.2813
3.3500 2.2280 2.2631 2.2907
3.4000 2.2358 2.2722 2.2987
3.4500 2.2409 2.2798 2.3041
3.5000 2.2453 2.2860 2.3076
3.5500 2.2491 2.2912 2.3108
3.6000 2.2518 2.2953 2.3131
3.6500 2.2533 2.2984 2.3144
3.7000 2.2529 2.3005 2.3139
3.7500 2.2530 2.3018 2.3125
3.8000 2.2544 2.3030 2.3125
3.8500 2.2560 2.3042 2.3133
3.9000 2.2588 2.3058 2.3148
3.9500 2.2620 2.3080 2.3172
4.0000 2.2655 2.3107 2.3199
4.0500 2.2700 2.3141 2.3234
4.1000 2.2747 2.3183 2.3273
4.1500 2.2814 2.3235 2.3324
4.2000 2.2894 2.3298 2.3392
4.2500 2.2997 2.3376 2.3481
4.3000 2.3103 2.3466 2.3582
4.3500 2.3217 2.3568 2.3688
4.4000 2.3324 2.3678 2.3794
4.4500 2.3439 2.3794 2.3899
4.5000 2.3554 2.3916 2.4010
4.5500 2.3676 2.4041 2.4121
4.6000 2.3806 2.4172 2.4243
4.6500 2.3937 2.4305 2.4372
4.7000 2.4061 2.4438 2.4494
4.7500 2.4185 2.4571 2.4614
4.8000 2.4295 2.4698 2.4728
4.8500 2.4400 2.4819 2.4829
4.9000 2.4507 2.4935 2.4930
4.9500 2.4614 2.5046 2.5035
5.0000 2.4708 2.5149 2.5131
5.0500 2.4809 2.5247 2.5221
5.1000 2.4928 2.5345 2.5328
5.1500 2.5061 2.5445 2.5452
5.2000 2.5201 2.5548 2.5587
5.2500 2.5344 2.5656 2.5727
5.3000 2.5493 2.5767 2.5873
5.3500 2.5636 2.5881 2.6020
5.4000 2.5761 2.5993 2.6154
5.4500 2.5865 2.6098 2.6266
5.5000 2.5943 2.6191 2.6356
5.5500 2.5988 2.6266 2.6413
5.6000 2.6003 2.6320 2.6439
5.6500 2.5982 2.6347 2.6431
5.7000 2.5933 2.6346 2.6387
5.7500 2.5867 2.6318 2.6321
5.8000 2.5790 2.6266 2.6243
5.8500 2.5700 2.6191 2.6154
5.9000 2.5592 2.6095 2.6051
5.9500 2.5459 2.5978 2.5924
6.0000 2.5314 2.5841 2.5775
6.0500 2.5174 2.5691 2.5625
6.1000 2.5044 2.5533 2.5484
6.1500 2.4918 2.5372 2.5353
6.2000 2.4785 2.5208 2.5221
6.2500 2.4642 2.5042 2.5077
6.3000 2.4500 2.4874 2.4930
6.3500 2.4351 2.4706 2.4781
6.4000 2.4202 2.4538 2.4627
6.4500 2.4044 2.4368 2.4472
6.5000 2.3861 2.4193 2.4297
6.5500 2.3659 2.4009 2.4096
6.6000 2.3455 2.3818 2.3884
6.6500 2.3257 2.3622 2.3679
6.7000 2.3050 2.3420 2.3474
6.7500 2.2826 2.3210 2.3254
6.8000 2.2589 2.2992 2.3015
6.8500 2.2365 2.2769 2.2775
6.9000 2.2172 2.2549 2.2565
6.9500 2.1975 2.2331 2.2372
7.0000 2.1771 2.2115 2.2167
7.0500 2.1559 2.1899 2.1956
7.1000 2.1339 2.1680 2.1737
7.1500 2.1114 2.1458 2.1512
7.2000 2.0881 2.1233 2.1279
7.2500 2.0649 2.1004 2.1045
7.3000 2.0403 2.0770 2.0804
7.3500 2.0148 2.0528 2.0549
7.4000 1.9891 2.0281 2.0289
7.4500 1.9640 2.0030 2.0034
7.5000 1.9391 1.9776 1.9781
7.5500 1.9153 1.9523 1.9535
7.6000 1.8923 1.9272 1.9303
7.6500 1.8691 1.9024 1.9073
7.7000 1.8464 1.8778 1.8842
7.7500 1.8248 1.8537 1.8624
7.8000 1.8023 1.8298 1.8406
7.8500 1.7786 1.8058 1.8176
7.9000 1.7533 1.7813 1.7930
7.9500 1.7266 1.7562 1.7669
8.0000 1.6991 1.7302 1.7396
8.0500 1.6716 1.7036 1.7118
8.1000 1.6442 1.6764 1.6842
8.1500 1.6159 1.6485 1.6563
8.2000 1.5859 1.6197 1.6270
8.2500 1.5540 1.5897 1.5957
8.3000 1.5206 1.5585 1.5631
8.3500 1.4844 1.5256 1.5282
8.4000 1.4460 1.4908 1.4906
8.4500 1.4059 1.4542 1.4511
8.5000 1.3643 1.4158 1.4099
8.5500 1.3236 1.3761 1.3683
8.6000 1.2842 1.3358 1.3285
8.6500 1.2429 1.2946 1.2883
8.7000 1.2004 1.2526 1.2462
8.7500 1.1565 1.2096 1.2029
8.8000 1.1122 1.1660 1.1584
8.8500 1.0686 1.1220 1.1144
8.9000 1.0251 1.0778 1.0707
8.9500 0.9835 1.0339 1.0283
9.0000 0.9417 0.9904 0.9867
9.0500 0.9013 0.9476 0.9453
9.1000 0.8636 0.9060 0.9064
9.1500 0.8275 0.8658 0.8700
9.2000 0.7913 0.8268 0.8343
9.2500 0.7549 0.7888 0.7982
9.3000 0.7191 0.7517 0.7624
9.3500 0.6831 0.7153 0.7268
9.4000 0.6468 0.6793 0.6909
9.4500 0.6105 0.6437 0.6546
9.5000 0.5769 0.6088 0.6197
9.5500 0.5451 0.5748 0.5875
9.6000 0.5145 0.5419 0.5566
9.6500 0.4846 0.5099 0.5269
9.7000 0.4526 0.4783 0.4962
9.7500 0.4194 0.4465 0.4635
9.8000 0.3853 0.4143 0.4299
9.8500 0.3505 0.3815 0.3953
9.9000 0.3157 0.3483 0.3607
9.9500 0.2784 0.3140 0.3249
10.0000 0.2386 0.2782 0.2859
10.0500 0.1983 0.2410 0.2457
10.1000 0.1561 0.2023 0.2044
10.1500 0.1124 0.1620 0.1611
10.2000 0.0679 0.1202 0.1166
10.2500 0.0228 0.0770 0.0713
10.3000 -0.0218 0.0330 0.0261
10.3500 -0.0665 -0.0118 -0.0188
10.4000 -0.1108 -0.0570 -0.0637
10.4500 -0.1550 -0.1023 -0.1082
10.5000 -0.1982 -0.1475 -0.1520
10.5500 -0.2413 -0.1925 -0.1953
10.6000 -0.2841 -0.2370 -0.2384
10.6500 -0.3265 -0.2811 -0.2813
10.7000 -0.3673 -0.3244 -0.3232
10.7500 -0.4072 -0.3667 -0.3636
10.8000 -0.4463 -0.4081 -0.4031
10.8500 -0.4851 -0.4486 -0.4422
10.9000 -0.5231 -0.4881 -0.4808
10.9500 -0.5606 -0.5268 -0.5184
11.0000 -0.5986 -0.5649 -0.5564
11.0500 -0.6351 -0.6022 -0.5941
